기관명,전화번호,emails,fax번호
효성영광교회,,,
흥광장로교회,,gmdrhkd8165367@naver.com,"032-821-5367, 032-817-5367"
김해활천교회,,,
더푸른교회,,,
동성감리교회,,,
부여교회,,,041-834-5741
빛교회,,,
사랑의교회,,,
사랑의동산교회,,,
수정교회,,,
여수평강교회,"02-580-0533, 02-3480-3600, 02-392-0330","ceo@webcomm.co.kr, sm@webcomm.co.kr, ptj@webchurch.co.kr",
영암교회,,,
참좋은교회,,,
장대교회,,,
하늘꿈연동교회,,hdydpc@gmail.comDesigned,
목행동성당,,,
광주양림교회,,,
독산1동성당,,,
소망교회,,webmaster@somang.net,
갈월교회,032-524-5121,,032-524-5125
갈현교회,,,
강진읍교회,,,
강화제일교회,031-709-8111,,
개봉동성당,,,02-2615-8811
개포동성당,,,02-574-7345
경천교회,070-4261-5959,,02-884-4374
계산교회,,"gyesan21@gmail.com, gyesan21@gmail.comm",032-541-8981
계산동성당,053-254-2300,,"053-254-2307, 053-254-2300"
과천중앙교회,,,
광북성당,,,
광주대교구비아동성당,062-953-9107,,"062-953-9105, 062-953-9107"
광주장지동성당,,,
광진교회,,,
광탄교회,,,
교하성당,,,
금호동성당,,,
기장성당,,,
꿈이있는교회,,,
남문교회,,nammoon1981@gmail.com,
대동성당,,,042-622-9787
대방동성당,055-275-4951,,
대성장로교회,,,
대전대흥교회청소년부,042-221-0094,,042-252-1117
대전서부교회,,,
대천성당,031-672-7702,stpeter1970@gmail.com,"031-676-0106, 031-672-7702"
덕명동성당,042-826-3218,,"042-826-3224, 042-826-3218"
동산교회,"031-400-1111, 031-400-6600",,031-400-1122
동춘동성당,,,
목포한사랑교회,,,
발산동성당,,,
법동성당,,,
복대교회,,,
부개동성당,032-504-1011,bugae@caincheon.or.kr,"032-523-1011, 032-504-1011"
부평4동성당,,we@lovecatholic.kr,
사랑제일교회,,,
상봉동성당,,,
새광명교회,,,
새성남교회,,,
새싹교회,,,
생명나무교회,,,
성덕교회,"02-580-0533, 02-3480-3600, 02-392-0330, 02-2245-4795","ceo@webcomm.co.kr, sm@webcomm.co.kr, ptj@webchurch.co.kr",02-2213-3600
성린교회,,,
성산교회,,,
소사본3동성당,,,
송면교회,02-742-7447,gospeltoday@daum.net,
송산새솔동성당,,,031-853-2645
송정중앙교회,,,
수원중앙침례교회,02-2639-6400,"sfcman87@hanmail.net, dev@goodtv.co.kr","02-2639-6455, 02-2639-6400"
순복음오삼능력교회,,,
스피릿교회,,,
신촌성결교회,,eshinchon@hanmail.net,
암사성당 중고등 주일학교,,,
앨리향교회,,,
연수동성당,,,
영신교회,,,
영일교회,,,
예향교회,"02-580-0533, 02-3480-3600, 02-392-0330","ceo@webcomm.co.kr, sm@webcomm.co.kr, ptj@webchurch.co.kr",
온양신정동성당,041-534-2324,wns9794@hanmail.netCopyright,
요촌성당,,,
우동성당,,,
원동교회,,,
원주시온교회,,,
원주중앙장로교회,,,
위례비전교회,02-406-8291,,031-723-8291
의정부낙양하나님의교회,010-5292-6153,webmaster@ggpyeonghwa.com,031-825-9904
이음동산교회,,,
인헌동성당,02-884-1581,,"02-884-1582, 02-884-1581"
임마누엘교회,,,
전주대신교회,,,
전주신광교회,,,
정읍연지동성당,,,
제자교회,,,
종로세종로성당,,,
주예수교회,,,
주중좋은교회,,,
창대교회,,,
창성교회,,,
천안중앙교회,,,041-529-9191
천주교논현성당,02-548-2443,,02-516-5660
철원평화교회,02-3459-1159,little777@hanmail.net,"02-3459-1160, 02-3459-1159"
축동성당,,,
큰은혜교회,,E.amazing-grace@hanmail.net,
태봉교회,,,
한신교회,,,
함께하는우리교회,,,
호원동성당,,,031-873-8347
홍제동성당부설방과후교실,,,02-379-6808
화목교회,,kim-j-y@hanmail.net,
행복한교회,,,
홍성교회,02-391-4567,,"02-391-4569, 02-391-4567"
홍원침례교회,041-632-1260,bunyung@hanmail.net,"041-632-1265, 041-632-1260"
홍제동성당,02-396-7771,,02-396-7773
횡성부곡장로교회,033-345-4433,hsgnews@hanmail.net,033-345-4434
효성중앙교회,,,
후곡성당,,,031-921-9171
후암동성당,02-319-2911,,"02-319-2916, 02-319-2911"
흰돌교회,"02-580-0533, 02-3480-3600, 02-392-0330, 02-434-9821","ceo@webcomm.co.kr, sm@webcomm.co.kr, ptj@webchurch.co.kr",02-492-9576
대호태권도,,,
무안군청소년수련관,,,
아이사랑체육관,,,
영암군청소년수련관,062-371-1400,"yayouth@naver.com, firstnews@firstnews.co.kr","062-371-7100, 062-371-1400"
용인대서재태권도,,march14th@march14th.net,
한국잡월드(제주청소년수련관),,,
한나무태권도,010-3721-3150,"skarndwnsdhk@naver.com, koreatkdnews@naver.com",
아산드림태권도,,,
홍전군청소년수련관,,hcyc1388@hanmail.net,
경기체육관,,,031-760-2038
경희대성원태권도,,usedcarmarket@usedcarmarket.kr,
고산국가대표태권도,,,
고촌국가대표태권도,,,
광수한체대태권도,042-862-9054,,
국가대표가온체육관,,contact@cokmap.com,
국가대표한결태권도,,themosttimes@tmt.co.kr,
군포시청소년수련관,031-390-1430,,031-390-1430
나래태권도,,hjy5091@naver.com,
남서울명성태권도,,usedcarmarket@usedcarmarket.kr,
단국대백호태권도장,,,
대만야구팀,,,
대전현대태권도,,,
비젼태권도,,help@saramin.co.kr,02-6937-0039
삼척시청소년수련관,,,
서천군청소년수련관,,,
석사경희대태권도,,kjhses1020@hanmail.net,
성화체육관,061-434-7771,webmaster@gjon.com,061-434-7772
수정청소년수련관,,,031-751-4627
슈퍼키즈태권도,,"ptsisa_hoon@daum.net, ptsisa@hanmail.net",
신중태권도,,,02-582-4348
안양동안청소년수련관,02-330-2800,,"02-6430-0914, 02-330-2800"
안양시민안정청소년수련관,031-357-2266,cccent4530@naver.com,
연세탑영어체육관,,,
예산군청소년수련관,,,
예산군청소년수련관 방과후아카데미,,"bakin114@hanmail.net, news1948@naver.com",
용인대아이언태권도,,,
용인대태성태권도,,,
위너스태권도,,,
장성군청소년수련관,,,
정프스타태권도,,usedcarmarket@usedcarmarket.kr,
정체육관,,help@saramin.co.kr,02-6937-0039
중국 탁구단,,,
청룡태권도,,,
청운태권도,,,
태무용호체육관,,,
태사자태권도,,,
태풍태권도,,pbj93@hanmail.net,
파주시청소년수련관,031-540-5200,,
파주제이멀티짐,,contact@cokmap.com,
필승태권도,010-2929-7989,bantcall@naver.com,
한국태권도,,,
한양대탑수정태권도,,,
행복한태권도,,,
현대체육관,031-498-5498,hdsnt@hanmail.net,"031-498-8053, 031-498-5498"
화랑태권도,,,
화천푸르나지역아동센터,02-2281-5005,"ljs2852@naver.com, webmaster@gukjenews.com","02-6455-5003, 02-2281-5005"
횡성지역아동센터,02-523-8541,"wooj2705@naver.com, webmaster@enewstoday.co.kr, smlee@enewstoday.co.kr","02-522-6725, 02-523-8541"
회망터지역아동센터,,hmt7811@naver.com,
대구지역아동센터연합,"053-757-5700, 054-841-2900, 02-730-7713",kjw@idaegu.com,"053-757-5788, 053-757-5700"
더불어숲지역아동센터,,,
도담지역아동센터,061-753-3522,ssr2848@naver.com,"061-753-9905, 061-753-3522"
만복이네공부방지역아동센터,"041-555-6373, 041-578-1388, 041-565-1399, 041-572-9262, 070-4258-5093",1004@cawf.or.kr,
송파열매지역아동센터,02-489-5650,hh-sb@naver.com,02-483-5655
시립서울청소년센터,02-2267-2914,,02-2266-3211
어린이나라지역아동센터,02-446-5642,,
완도군 가족센터,,,
우리함께다문화지역아동센터,,,
전남문화예술협회,"061-461-1210, 061-282-7506, 061-792-9280, 061-332-6848, 061-381-7474, 061-279-1602, 061-285-6547, 061-852-1350, 061-753-9106, 061-261-5002, 061-642-7466, 061-555-1532, 061-393-3575, 061-542-7949, 061-322-9990, 061-536-5200, 061-371-0566",E.yechongbon@naver.com,"061-287-7508, 061-792-9281, 061-332-4377, 061-381-7477, 061-279-1603, 061-753-0055, 061-261-5003, 061-642-8700, 061-554-1532, 061-393-3575, 061-544-7949, 061-324-7333, 061-536-0958, 061-371-0567, 061-461-1210, 061-282-7506, 061-792-9280, 061-332-6848, 061-381-7474, 061-279-1602, 061-285-6547, 061-852-1350, 061-753-9106, 061-261-5002, 061-642-7466, 061-555-1532, 061-542-7949, 061-322-9990, 061-536-5200, 061-371-0566"
제주가정위탁지원센터,,jejufoster@gmail.com,
진해회망의집,,,
청소년차오름센터,052-275-1388,cha2751388@daum.net,"052-274-1388, 052-275-1388"
한국생활체육양궁연맹,,,
시립강북청소년센터,,,
온사랑지역아동센터,,,
철원교육지원청 교육복지센터,,,
한물지역아동센터,,,
C&C미술학원,,,
ciee하이스쿨,,contact@ciee.org,
JP장현영어수학학원,,,
경남중앙학원,055-644-8883,futuredev@naver.com,
곡성영재교육원,061-260-0013,jn-edu@naver.com,
그레이스국제학교,,,
그레이스학원,,,
미래엔영어,,hspenglish@daum.net,
정도학원,,futuredev@naver.com,
조셉학원,,help@saramin.co.kr,02-6937-0039
천안서여자중학교,,,
합천영재교육원,,,
화순영재교육원,062-524-1110,,062-234-8830
문수진영어수학,,cs@daangnservice.com,
은천조등학교,,,
한국외국어학원,,klsacademy@hankukls.com,
방원중두드림학교,,"stopnews@hanmail.net, webmaster@dstopnews.kr",
부평고등학교,,,
포천시 청소년 방과후 아카데미,"031-540-6616, 031-540-6621, 010-7767-6318",swh6405@naver.com,"031-535-6318, 010-7767-6318"
광주광역시자립지원전담기관,062-672-1930,gj1930@naver.com,"062-672-1931, 062-672-1930"
김해답사진구,,,
대교눈높이,,,
더블유타임즈,02-6949-2006,,02-6949-2006
롤링코리아,,,
목포교육지원청,,,
부산교육여행,,,
안동시드림스타트,,"channel1tv@naver.com, mediayouthkr@naver.com",
전라북도서울장학숙,,,
퍼스트뉴스기자단(학생단체),,firstnewskorea@naver.com,
피오디커뮤니케이션즈,,,
해남군교육재단,,,
