Name,Category,전화번호,핸드폰1,팩스1
홍성교회,종교시설,,,
홍원침례교회,종교시설,,,
홍제동성당,종교시설,,,
횡성부곡장로교회,종교시설,,,
효성중앙교회,종교시설,,,
후곡성당,종교시설,,,
후암동성당,종교시설,,,
흰돌교회,종교시설,,,
광주동명교회,종교시설,,,
도원교회,종교시설,,,
범서성당,종교시설,,,
서울복음교회,종교시설,,,
성남교회,종교시설,,,
송정교회,종교시설,,,
약대교회,종교시설,,,
예봄교회,종교시설,,,
오산세교명석교회,종교시설,,,
완도성당,종교시설,,,
장흥중앙교회,종교시설,,,
충성교회,종교시설,,,
시흥동산교회,종교시설,,,
신광교회,종교시설,,,
신당중앙교회,종교시설,,,
신둔성당,종교시설,,,
신생중앙교회,종교시설,,,
신암교회,종교시설,,,
신촌대현교회,종교시설,,,
신흥교회,종교시설,,,
신흥교회(동두천),종교시설,,,
쌍용동성당,종교시설,,,
안중교회,종교시설,,,
언덕위희신흥교회,종교시설,,,
여량교회,종교시설,,,
여수성은교회,종교시설,,,
여의도순복음안산교회,종교시설,,,
연세중앙교회,종교시설,,,
영주교회,종교시설,,,
영천봉동교회,종교시설,,,
예산성당,종교시설,,,
예수그이름교회,종교시설,,,
예수중심교회,종교시설,,,
오가교회,종교시설,,,
오산성당,종교시설,,,
오산중앙교회,종교시설,,,
오산하울교회,종교시설,,,
오송교회,종교시설,,,
오창성당,종교시설,,,
오포성당,종교시설,,,
온양성당,종교시설,,,
온양장로교회,종교시설,,,
용문교회,종교시설,,,
용봉동성당,종교시설,,,
운천감리교회,종교시설,,,
원주북부교회,종교시설,,,
월곡동성당,종교시설,,,
월평동성당,종교시설,,,
위례광명교회,종교시설,,,
위례성데레사성당,종교시설,,,
유성교회,종교시설,,,
이리북문교회,종교시설,,,
이문동교회,종교시설,,,
인동성결교회,종교시설,,,
인천주안장로교회,종교시설,,,
일동동부교회,종교시설,,,
일산광림교회,종교시설,,,
일산교회,종교시설,,,
전농교회,종교시설,,,
전농동성당,종교시설,,,
전주 온누리교회,종교시설,,,
전주우림성당,종교시설,,,
제암교회,종교시설,,,
종암동성당,종교시설,,,
종암제일교회,종교시설,,,
주가행교회,종교시설,,,
주교좌의정부성당 복사단,종교시설,,,
주안교회,종교시설,,,
주안동신광교회,종교시설,,,
중2동성당(부천),종교시설,,,
중앙성결교회,종교시설,,,
중앙탑성당,종교시설,,,
즐거운교회,종교시설,,,
진안장로교회,종교시설,,,
참조은교회,종교시설,,,
천산교회,종교시설,,,
천주교수원교구포승성당,종교시설,,,
천호동교회,종교시설,,,
청북교회,종교시설,,,
춘일교회,종교시설,,,
춘천안디옥교회,종교시설,,,
충주연수성당,종교시설,,,
태강삼육교회,종교시설,,,
퇴계성당,종교시설,,,
평강교회,종교시설,,,
평안교회,종교시설,,,
평화교회,종교시설,,,
평회교회,종교시설,,,
하늘샘교회,종교시설,,,
하늘씨앗교회,종교시설,,,
학익감리교회,종교시설,,,
한강중앙교회,종교시설,,,
한사랑교회,종교시설,,,
할렐루야힐링선교회,종교시설,,,
함께하는교회,종교시설,,,
영광백수남부교회,종교시설,,,
사랑샘교회,종교시설,,,
여수로교회,종교시설,,,
중앙성당,종교시설,,,
서전동성당,종교시설,,,
가경교회,종교시설,,,
간석4동 성당,종교시설,,,
갈릴리교회,종교시설,,,
강경제일감리교회,종교시설,,,
강동교회,종교시설,,,
강화베다니교회,종교시설,,,
강화성광교회,종교시설,,,
고덕동 성당 어린이복사단,종교시설,,,
고덕동성당,종교시설,,,
고촌중앙교회,종교시설,,,
공주꿈의교회,종교시설,,,
광명성당,종교시설,,,
광명순복음교회,종교시설,,,
광주마태오성당,종교시설,,,
구례제일교회,종교시설,,,
구미교회,종교시설,,,
구파발성당,종교시설,,,
군자성당,종교시설,,,
군포대명교회,종교시설,,,
굿모닝교회,종교시설,,,
금호교회,종교시설,,,
기쁨소식교회,종교시설,,,
기쁨의교회,종교시설,,,
기자촌교회,종교시설,,,
낙원교회,종교시설,,,
남서울교회,종교시설,,,
남천안교회,종교시설,,,
남현교회,종교시설,,,
내리교회,종교시설,,,
노은동성당,종교시설,,,
논산제일교회,종교시설,,,
높은뜻덕소교회,종교시설,,,
대부감리교회,종교시설,,,
대서울교회,종교시설,,,
대전대흥침례교회,종교시설,,,
대치4동성당,종교시설,,,
대포교회,종교시설,,,
대한교회,종교시설,,,
도동교회,종교시설,,,
돌다리교회,종교시설,,,
동교동교회,종교시설,,,
동성교회,종교시설,,,
동수원성당,종교시설,,,
동탄장지동성당,종교시설,,,
둔산동성당,종교시설,,,
따뜻한교회,종교시설,,,
로뎀교회,종교시설,,,
마두동성당,종교시설,,,
만성동성당,종교시설,,,
망우동성당,종교시설,,,
명성교회,종교시설,,,
무실동성당,종교시설,,,
문산성당,종교시설,,,
미아동성당,종교시설,,,
밀양교회,종교시설,,,
반도중앙교회,종교시설,,,
범박동성당,종교시설,,,
벧엘감리교회,종교시설,,,
벧엘교회,종교시설,,,
본교회,종교시설,,,
본리성당,종교시설,,,
봉곡교회,종교시설,,,
분당성루카성당,종교시설,,,
비전교회,종교시설,,,
산곡3동성당,종교시설,,,
상도제일교회,종교시설,,,
상신교회,종교시설,,,
샘물교회,종교시설,,,
서귀포중앙교회,종교시설,,,
서남교회,종교시설,,,
서산동문동성당,종교시설,,,
서울빛샘교회,종교시설,,,
서울중앙교회,종교시설,,,
서창2등성당,종교시설,,,
서천동성당,종교시설,,,
서천중앙교회,종교시설,,,
서청주성당,종교시설,,,
서현교회,종교시설,,,
선교교회,종교시설,,,
선행교회,종교시설,,,
성도교회,종교시설,,,
성만교회,종교시설,,,
성석교회,종교시설,,,
성환장로교회,종교시설,,,
세곡동성당,종교시설,,,
세광교회,종교시설,,,
세움교회,종교시설,,,
세종 성요한성당,종교시설,,,
소하동성당,종교시설,,,
수원율전성당,종교시설,,,
수지성당,종교시설,,,
순천승산교회,종교시설,,,
순천중앙교회,종교시설,,,
예수로교회,종교시설,,,
대호태권도,체육시설,,,
무안군청소년수련관,체육시설,,,
아이사랑체육관,체육시설,,,
영암군청소년수련관,체육시설,,,
용인대서재태권도,체육시설,,,
한국잡월드(제주청소년수련관),체육시설,,,
한나무태권도,체육시설,,,
아산드림태권도,체육시설,,,
홍전군청소년수련관,체육시설,,,
경기체육관,체육시설,,,
경희대성원태권도,체육시설,,,
고산국가대표태권도,체육시설,,,
고촌국가대표태권도,체육시설,,,
광수한체대태권도,체육시설,,,
국가대표가온체육관,체육시설,,,
국가대표한결태권도,체육시설,,,
군포시청소년수련관,체육시설,,,
나래태권도,체육시설,,,
남서울명성태권도,체육시설,,,
단국대백호태권도장,체육시설,,,
대만야구팀,체육시설,,,
대전현대태권도,체육시설,,,
비젼태권도,체육시설,,,
삼척시청소년수련관,체육시설,,,
서천군청소년수련관,체육시설,,,
석사경희대태권도,체육시설,,,
성화체육관,체육시설,,,
수정청소년수련관,체육시설,,,
슈퍼키즈태권도,체육시설,,,
신중태권도,체육시설,,,
안양동안청소년수련관,체육시설,,,
안양시민안정청소년수련관,체육시설,,,
연세탑영어체육관,체육시설,,,
예산군청소년수련관,체육시설,,,
예산군청소년수련관 방과후아카데미,체육시설,,,
용인대아이언태권도,체육시설,,,
용인대태성태권도,체육시설,,,
위너스태권도,체육시설,,,
장성군청소년수련관,체육시설,,,
정프스타태권도,체육시설,,,
정체육관,체육시설,,,
중국 탁구단,체육시설,,,
청룡태권도,체육시설,,,
청운태권도,체육시설,,,
태무용호체육관,체육시설,,,
태사자태권도,체육시설,,,
태풍태권도,체육시설,,,
파주시청소년수련관,체육시설,,,
파주제이멀티짐,체육시설,,,
필승태권도,체육시설,,,
한국태권도,체육시설,,,
한양대탑수정태권도,체육시설,,,
